ObjectId,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_
4889,2019/03/15 18:05:52+00,10.44,9.61,9.67,9.75,10.18,11.54,11.52,80,49,1000.98,Chapel Hill Public Library,outside,35.932522,-79.035728,5540
4890,2019/03/15 19:04:33+00,11.29,10.59,10.12,9.98,10.2,11.52,11.51,77,57,1000.48,Chapel Hill Public Library,outside,35.932522,-79.035728,2560
4891,2019/03/15 20:05:12+00,18.93,14.76,13.04,11.87,10.56,11.58,11.52,73,71,1000.29,Chapel Hill Public Library,outside,35.932522,-79.035728,31
4892,2019/03/15 21:05:12+00,16.36,15.43,14.5,13.29,10.97,11.66,11.53,74,67,999.59,Chapel Hill Public Library,outside,35.932522,-79.035728,3631
4893,2019/03/15 22:05:23+00,18.74,18.92,17.17,15.32,11.54,11.79,11.55,74,69,999.47,Chapel Hill Public Library,outside,35.932522,-79.035728,510
4894,2019/03/15 23:05:23+00,26.2,23.63,20.86,18.51,12.63,12.07,11.59,73,69,999.1,Chapel Hill Public Library,outside,35.932522,-79.035728,4110
4895,2019/03/16 00:05:30+00,18.43,20.94,22.49,21.1,13.88,12.41,11.65,73,68,999.5,Chapel Hill Public Library,outside,35.932522,-79.035728,7710
4896,2019/03/16 01:04:31+00,12.13,13.56,17.14,18.44,13.94,12.46,11.65,73,67,999.78,Chapel Hill Public Library,outside,35.932522,-79.035728,1310
4897,2019/03/16 02:04:03+00,8.11,10.01,13.5,15.96,13.73,12.43,11.65,71,65,1000.55,Chapel Hill Public Library,outside,35.932522,-79.035728,350
4898,2019/03/16 03:04:50+00,4.15,6.24,9.5,12.77,13.26,12.33,11.64,69,59,1001.31,Chapel Hill Public Library,outside,35.932522,-79.035728,110
4899,2019/03/16 04:02:04+00,4.33,4.62,6.88,10.22,12.74,12.21,11.62,68,59,1001.98,Chapel Hill Public Library,outside,35.932522,-79.035728,3550
4900,2019/03/16 05:04:47+00,4.22,4.18,5.31,8.17,12.18,12.07,11.61,65,60,1002.39,Chapel Hill Public Library,outside,35.932522,-79.035728,7310
4901,2019/03/16 06:02:47+00,3.57,3.85,4.46,6.5,11.52,11.91,11.58,64,57,1003.08,Chapel Hill Public Library,outside,35.932522,-79.035728,2030
4902,2019/03/16 07:04:07+00,3.39,3.58,3.83,5.17,10.76,11.7,11.55,60,44,1004.31,Chapel Hill Public Library,outside,35.932522,-79.035728,5710
4903,2019/03/16 08:04:39+00,4.38,3.82,3.81,4.52,10.06,11.49,11.53,58,43,1004.93,Chapel Hill Public Library,outside,35.932522,-79.035728,680
4904,2019/03/16 09:04:31+00,3.64,3.8,3.81,4.28,9.64,11.36,11.51,57,42,1006.03,Chapel Hill Public Library,outside,35.932522,-79.035728,680
4905,2019/03/16 10:04:25+00,2.82,3.21,3.51,3.99,9.32,11.26,11.49,51,39,1003.47,Chapel Hill Public Library,outside,35.932522,-79.035728,4270
4906,2019/03/16 11:00:56+00,2.8,2.86,3.25,3.76,9.11,11.19,11.48,52,38,1007.55,Chapel Hill Public Library,outside,35.932522,-79.035728,2190
4907,2019/03/16 12:04:30+00,3.2,2.92,3.14,3.59,8.87,11.11,11.47,53,41,1008.74,Chapel Hill Public Library,outside,35.932522,-79.035728,2510
4908,2019/03/16 13:04:30+00,2.55,2.75,2.89,3.28,8.43,10.95,11.45,57,35,1009.71,Chapel Hill Public Library,outside,35.932522,-79.035728,6110
4909,2019/02/07 08:04:29+00,20.79,21.31,22.8,24.39,22.88,19.18,14.14,72,62,1004.82,Chapel Hill Public Library,outside,35.932522,-79.035728,830
4910,2019/02/07 09:04:50+00,22.5,21.65,21.67,22.78,22.68,19.24,14.17,72,63,1004.54,Chapel Hill Public Library,outside,35.932522,-79.035728,430
4911,2019/02/07 10:05:10+00,22.89,22.5,22.02,22.49,22.63,19.3,14.2,71,65,1004.27,Chapel Hill Public Library,outside,35.932522,-79.035728,4050
4912,2019/02/07 11:05:00+00,22.92,22.5,22.3,22.53,22.63,19.35,14.21,70,66,1004.81,Chapel Hill Public Library,outside,35.932522,-79.035728,7640
4913,2019/02/07 12:04:34+00,24.54,23.8,23.14,22.91,22.69,19.45,14.25,70,67,1005.06,Chapel Hill Public Library,outside,35.932522,-79.035728,110
4914,2019/02/07 13:04:44+00,23.13,22.25,22.7,22.81,22.71,19.56,14.29,71,66,1005.03,Chapel Hill Public Library,outside,35.932522,-79.035728,3720
4915,2019/02/07 14:05:14+00,26.16,23.39,22.63,22.62,22.67,19.64,14.32,72,64,1005.1,Chapel Hill Public Library,outside,35.932522,-79.035728,7350
4916,2019/02/07 15:04:34+00,17.96,20.7,22.33,22.62,22.69,19.72,14.35,75,60,1005.08,Chapel Hill Public Library,outside,35.932522,-79.035728,10910
